# Baseline generated: 2026-09-25
# Command: go test ./iter -run '^$' -bench . -benchmem -benchtime=5s -count=5 -timeout=30m
# Go: go1.25.0
# GOOS/GOARCH: darwin/arm64
# CPU: Apple M4 Pro
# GOMAXPROCS: 12
# Note: regenerate this baseline on CI hardware once the bench workflow is wired up.
goos: darwin
goarch: arm64
pkg: github.com/purpleclay/conker/iter
cpu: Apple M4 Pro
BenchmarkMap/impl=Collect/workers=24-12        	  114771	     54012 ns/op	   22322 B/op	     426 allocs/op
BenchmarkMap/impl=Collect/workers=24-12        	  106388	     53135 ns/op	   22322 B/op	     426 allocs/op
BenchmarkMap/impl=Collect/workers=24-12        	  132794	     50342 ns/op	   22322 B/op	     426 allocs/op
BenchmarkMapSeq2/workers=1-12                  	   82413	     72753 ns/op	   20160 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=1-12                  	   82968	     72732 ns/op	   20160 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=1-12                  	   81448	     72701 ns/op	   20160 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=1-12                  	   82609	     72678 ns/op	   20160 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=1-12                  	   83863	     71515 ns/op	   20160 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=12-12                 	  117073	     52815 ns/op	   20249 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=12-12                 	  113222	     52903 ns/op	   20249 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=12-12                 	  113292	     53215 ns/op	   20250 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=12-12                 	  110922	     53319 ns/op	   20250 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=12-12                 	  112390	     53777 ns/op	   20250 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=24-12                 	  107308	     54047 ns/op	   20346 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=24-12                 	  116236	     50715 ns/op	   20346 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=24-12                 	  121910	     53508 ns/op	   20346 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=24-12                 	  105168	     54916 ns/op	   20346 B/op	     421 allocs/op
BenchmarkMapSeq2/workers=24-12                 	  108968	     53688 ns/op	   20346 B/op	     421 allocs/op
BenchmarkMapSeqErr/workers=1-12                	   84964	     70841 ns/op	   28848 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=1-12                	   85508	     70515 ns/op	   28848 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=1-12                	   85118	     70965 ns/op	   28848 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=1-12                	   84492	     70743 ns/op	   28848 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=1-12                	   84795	     70508 ns/op	   28848 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=12-12               	  106551	     54824 ns/op	   28938 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=12-12               	  110500	     54655 ns/op	   28938 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=12-12               	  109750	     54584 ns/op	   28938 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=12-12               	  109513	     54823 ns/op	   28938 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=12-12               	  110430	     58002 ns/op	   28937 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=24-12               	   91618	     62764 ns/op	   29034 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=24-12               	   94928	     63735 ns/op	   29034 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=24-12               	  105001	     55422 ns/op	   29034 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=24-12               	  110571	     55184 ns/op	   29034 B/op	     515 allocs/op
BenchmarkMapSeqErr/workers=24-12               	  105270	     55175 ns/op	   29034 B/op	     515 allocs/op
BenchmarkForEachSeq/workers=1-12               	  204667	     29359 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=1-12               	  202772	     29443 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=1-12               	  205524	     29362 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=1-12               	  205250	     29406 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=1-12               	  204662	     29417 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=12-12              	  147158	     40637 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=12-12              	  146982	     40663 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=12-12              	  148344	     40658 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=12-12              	  145490	     41092 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=12-12              	  147835	     41132 ns/op	    5192 B/op	     209 allocs/op
BenchmarkForEachSeq/workers=24-12              	  144046	     42274 ns/op	    5192 B/op	     209 allocs/op
