# Baseline generated: 2026-09-23
# Command: go test ./pool -run '^$' -bench . -benchmem -benchtime=5s -count=5
# Go: go1.25.0
# GOOS/GOARCH: darwin/arm64
# CPU: Apple M4 Pro
# GOMAXPROCS: 12
# Note: regenerate this baseline on CI hardware once the bench workflow is wired up.
goos: darwin
goarch: arm64
pkg: github.com/purpleclay/conker/pool
cpu: Apple M4 Pro
BenchmarkResultPool_Go_NoCapacity/workers=12-12     	   78396	     76537 ns/op	   20044 B/op	     514 allocs/op
BenchmarkResultPool_Go_NoCapacity/workers=24-12     	   73736	     80579 ns/op	   20045 B/op	     514 allocs/op
BenchmarkResultPool_Go_NoCapacity/workers=24-12     	   74700	     80892 ns/op	   20044 B/op	     514 allocs/op
BenchmarkResultPool_Go_NoCapacity/workers=24-12     	   74984	     80678 ns/op	   20044 B/op	     514 allocs/op
BenchmarkResultPool_Go_NoCapacity/workers=24-12     	   74510	     80911 ns/op	   20044 B/op	     514 allocs/op
BenchmarkResultPool_Go_NoCapacity/workers=24-12     	   74734	     80841 ns/op	   20044 B/op	     514 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=1-12    	  146785	     40668 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=1-12    	  148290	     40722 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=1-12    	  147681	     40746 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=1-12    	  149054	     40740 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=1-12    	  148368	     40822 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=12-12   	   85765	     69836 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=12-12   	   86186	     70056 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=12-12   	   85496	     70128 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=12-12   	   86104	     69994 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=12-12   	   85830	     69944 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=24-12   	   79944	     74486 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=24-12   	   80544	     74321 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=24-12   	   80653	     74210 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=24-12   	   80952	     74305 ns/op	   15200 B/op	     507 allocs/op
BenchmarkResultPool_Go_WithCapacity/workers=24-12   	   81384	     74346 ns/op	   15200 B/op	     507 allocs/op
PASS
